Player,Country,Matches,Overs,Balls,Wkts,Avg,Runs,4-fers,5-fers
Adam Zampa,Australia,9,79,474,22,18.91,416,3,-
Dilshan Madushanka,Sri Lanka,9,78.2,470,21,25,525,1,1
Shaheen Afridi,Pakistan,9,81,486,18,26.72,481,-,1
Gerald Coetzee,South Africa,7,54.3,327,18,19.39,349,1,-
Jasprit Bumrah,India,9,72.5,437,17,15.65,266,1,-
Marco Jansen,South Africa,8,64.4,388,17,24.41,415,-,-
Ravindra Jadeja,India,9,73.3,441,16,18.25,292,-,1
Mohammed Shami,India,5,32,192,16,9.56,153,1,2
Mitchell Santner,New Zealand,9,82.4,496,16,24.88,398,-,1
Haris Rauf,Pakistan,9,79,474,16,33.31,533,-,-
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
